NPTDR File Region	NPTDR File Admin Area	NPTDR Operator Code	Code Problem	NPTDR Route Numbers
Great Britain	National	ASE	missing	BusRoute 1, BusRoute 4, BusRoute 5, BusRoute 7, BusRoute 8, BusRoute 9, BusRoute 12, BusRoute 13, BusRoute 14, BusRoute 15, BusRoute 21, BusRoute 23, BusRoute 24, BusRoute 25, BusRoute 26, BusRoute 27, BusRoute 31, BusRoute 32, BusRoute 33, BusRoute 34, BusRoute 35, BusRoute 38, BusRoute 60, BusRoute 61, BusRoute 69, BusRoute 70, BusRoute 12A, BusRoute 800, BusRoute 801, BusRoute 814, BusRoute 823, BusRoute 828, BusRoute 829, BusRoute 830, BusRoute 835, BusRoute 876, BusRoute 002E, BusRoute 004A, BusRoute 009A, BusRoute 16, BusRoute 17, BusRoute 18, BusRoute 031A, BusRoute 032A, BusRoute 033A, BusRoute 034A, BusRoute 37, BusRoute 038D, BusRoute 0390, BusRoute 40, BusRoute 41, BusRoute 42, BusRoute 45, BusRoute 48, BusRoute 50, BusRoute 52, BusRoute 62, BusRoute 74, BusRoute 100, BusRoute 110, BusRoute 150, BusRoute 160, BusRoute 200, BusRoute 280, BusRoute 300, BusRoute 306, BusRoute 333, BusRoute 334, BusRoute 340, BusRoute 353, BusRoute 613, BusRoute 850, BusRoute PR1, BusRoute 6, BusRoute 10, BusRoute 59, BusRoute 250, BusRoute 251, BusRoute 500, BusRoute 501, BusRoute 505, BusRoute 510, BusRoute 522, BusRoute 541, BusRoute 542, BusRoute 543, BusRoute 2, BusRoute 3, BusRoute 30, BusRoute 4A, BusRoute 51, BusRoute 54, BusRoute 55, BusRoute 5A, BusRoute 80, BusRoute 81, BusRoute 92, BusRoute 94, BusRoute 97, BusRoute 99, BusRoute W1, BusRoute W7, BusRoute W9, BusRoute 101, BusRoute 102, BusRoute 142, BusRoute 258, BusRoute 301, BusRoute 304, BusRoute 310, BusRoute 311, BusRoute 320, BusRoute 321, BusRoute 331, BusRoute 346, BusRoute 347, BusRoute 834A, BusRoute 395, BusRoute 396, BusRoute 401, BusRoute 403, BusRoute 550, BusRoute 600, BusRoute 620, BusRoute 667, BusRoute 809, BusRoute 856, BusRoute 857, BusRoute 883, BusRoute 896, BusRoute 97A, BusRoute H13, BusRoute H19, BusRoute H20, BusRoute SB1, BusRoute SB7, BusRoute SB8, BusRoute SB9, BusRoute W30, BusRoute 610
Great Britain	National	AP	missing	BusRoute 115, BusRoute 116, BusRoute 117, BusRoute 861, BusRoute 877, BusRoute 33, BusRoute 45, BusRoute X33
Great Britain	National	THI	missing	BusRoute PA2, BusRoute PA5, BusRoute 1, BusRoute 2
Great Britain	National	MIN	missing	BusRoute 38, BusRoute 435, BusRoute 552, BusRoute 553, BusRoute 775, BusRoute 745, BusRoute 39, BusRoute 905
Great Britain	National	DEC	missing	BusRoute 100, BusRoute 300A, BusRoute 301, BusRoute 302, BusRoute 303, BusRoute 709, BusRoute 811
Great Britain	National	1015	missing	BusRoute L1, BusRoute L2, BusRoute 42, BusRoute 503, BusRoute 550, BusRoute 580, BusRoute S33
Great Britain	National	RMCB	missing	BusRoute 1
Great Britain	National	CAN	missing	BusRoute T2, BusRoute T3, BusRoute T5
Great Britain	National	_SM	missing	FerryRoute 12
Great Britain	National	BE	missing	CoachRoute 880, CoachRoute 871, BusRoute 716, BusRoute 347, BusRoute 362, BusRoute 368, BusRoute EL1, BusRoute EL2, BusRoute 674, BusRoute 87, BusRoute 247, BusRoute 87A
Great Britain	National	HRB	missing	BusRoute 185, BusRoute 187
Great Britain	National	SDT	missing	BusRoute 15, BusRoute 21, BusRoute 22, BusRoute 150, BusRoute 450, BusRoute 407, BusRoute 12A, BusRoute 14, BusRoute 16A, BusRoute 20B, BusRoute 24, BusRoute 15A, BusRoute 124, BusRoute 132, BusRoute 11, BusRoute 13, BusRoute 18A, BusRoute P1
Great Britain	National	BUT	missing	BusRoute 719, BusRoute 816
Great Britain	National	CBC	missing	BusRoute 91, BusRoute 93, BusRoute 893
Great Britain	National	BF	missing	BusRoute 782, BusRoute 783, BusRoute 781, BusRoute 788, BusRoute 789, BusRoute 790
Great Britain	National	OOT	missing	BusRoute 385
Great Britain	National	GNK	missing	BusRoute 150
Great Britain	National	YO	missing	BusRoute 456, BusRoute 457, BusRoute 677, BusRoute 652
Great Britain	National	1017	missing	BusRoute 20, BusRoute 26, BusRoute 837, BusRoute 847, BusRoute 872, BusRoute 882, BusRoute 895, BusRoute 903, BusRoute 914, BusRoute 917, BusRoute 919, BusRoute 926, BusRoute 928, BusRoute 936, BusRoute 946, BusRoute 949, BusRoute 972, BusRoute 978, BusRoute X43, BusRoute X44, BusRoute X63, BusRoute 1A, BusRoute 1B, BusRoute 3, BusRoute 22, BusRoute 23, BusRoute 29, BusRoute 6B, BusRoute 21, BusRoute 24, BusRoute 110, BusRoute 807, BusRoute 8, BusRoute 25, BusRoute 28, BusRoute 27, BusRoute 6, BusRoute 5, BusRoute 4, BusRoute 2, BusRoute 1
